index,page,name,category,image,price,rating,rating_count,delivery,is_best_seller,is_overall_pick
20,1,"Amazon Echo Pop (newest model), Just right for small spaces like bathrooms, dens and bedrooms, Our smallest Alexa speaker, Charcoal",electronics,https://m.media-amazon.com/images/I/61V5FRUgX8L._AC_UY218_.jpg,,4.7,69741,,0,0
21,1,Echo Show 5 (3rd Gen) Adjustable Stand with USB-C Charging Port | Charcoal,electronics,https://m.media-amazon.com/images/I/51iVkKCRK4L._AC_UY218_.jpg,,4.4,8298,,0,0
22,1,"XXXL Electronic Component Assortment Box Kit, 5228 pcs, Capacitors, Transistors, Potentiometers, Diodes, ICs, Inductors, Regulators, Mosfets, Trim Pots, LEDs, PCB, Photoresistors, Terminals, Resistors",electronics,https://m.media-amazon.com/images/I/712phWIBmEL._AC_UY218_.jpg,$189.90,4.7,102,"FREE delivery Thu, Dec 12 to Palestinian Territories",0,0
23,2,TBS6909X DVB-S/ S2/ S2X 8 Tuner PCI Express Digital Satellite TV Card for Live TV,electronics,https://m.media-amazon.com/images/I/61glvVnrxUS._AC_UY218_.jpg,$310.00,4.5,46,"FREE delivery Wed, Dec 18 to Palestinian Territories",0,0
24,2,Handheld Inkjet Printer Gun Z10 Printing Height 0.08-0.5 Inch Inkjet Coder with Original Fast-Drying Ink for Text QRCode/Barcode/Batch Number/Label/Image/Date Printer for Any Surface,electronics,https://m.media-amazon.com/images/I/71XaxFsDjrL._AC_UY218_.jpg,$149.99,3.5,12,"Delivery Tue, Dec 17",0,0
25,2,Walker's Unisex Adult Razor Slim Electronic Earmuffs,electronics,https://m.media-amazon.com/images/I/61t4mk8LRgL._AC_UY218_.jpg,$29.99,4.8,59111,"Delivery Thu, Dec 12 to Palestinian Territories",0,0
26,2,"Upgraded 3-in-1 Car Phone Holder Mount [Powerful Suction] Phone Mount for Car Dashboard Air Vent Windshield,for All iPhone Android Phone (Black)",electronics,https://m.media-amazon.com/images/I/71O2w5u9ECL._AC_UY218_.jpg,No featured offers available$39.99(7 new offers),4.3,4530,,0,0
27,2,Electric Candle Lighter Plasma Arc Lighters Windproof & Flameless with USB Rechargeable Battery Double Safety Switch (Obisidian Black),electronics,https://m.media-amazon.com/images/I/51VfDACoTBL._AC_UY218_.jpg,$9.99,4.4,11818,"Delivery Tue, Dec 17",1,0
28,2,iPhone Charger Fast Charging【MFi Certified】 2Pack 20W PD USB C Wall Charger 6&10FT Cable Fasting Charging Adapter Compatible with iPhone 14Pro/13 Pro/12/12 Pro Max/11 Pro Max/XS Max/XS/XR/X/8 and More,electronics,https://m.media-amazon.com/images/I/61TAL-PGlQL._AC_UY218_.jpg,$8.45,4.5,3178,"Delivery Thu, Dec 12 to Palestinian Territories",0,0
29,2,"Klein Tools 935DAG Digital Electronic Level and Angle Gauge, Measures 0 - 90 and 0 - 180 Degree Ranges, Measures and Sets Angles",electronics,https://m.media-amazon.com/images/I/61ECLzFKvXL._AC_UY218_.jpg,No featured offers available$27.85(22 used & new offers),4.7,14839,,0,0
